name,class,level,power,price,date
YAへCHOP,lancer,142,379299,1550,2026-07-13
长卂乚工丫卂卄卄,arbalist,151,361391,598,2026-07-13
隱雨 丶Sera,taoist,147,389393,500,2026-07-13
ANUBIS 運,taoist,148,400756,950,2026-07-13
600SkillDMG,sorcerer,157,450149,2200,2026-07-13
007Player,arbalist,151,402807,1380,2026-07-13
0CDAllMAP,lancer,157,448254,3000,2026-07-13
Aôm,taoist,155,408844,1400,2026-07-13
Aôm丶X,taoist,151,440415,2400,2026-07-13
ⓉⓇⒺⓏⓁⒶ,darkist,160,476021,4100,2026-07-13
Sàiyàn,taoist,160,487443,2222,2026-07-13
刃丨kodeメ,warrior,148,403919,1150,2026-07-13
Kylerツ,taoist,160,503147,4290,2026-07-13
SEHXY,arbalist,131,242679,222,2026-07-13
SS 戦LuBu戦,lancer,149,377126,930,2026-07-13
C H I A SIA,taoist,146,385234,650,2026-07-13
WeaponT4CD0,sorcerer,161,470045,2990,2026-07-13
Escanor 么,arbalist,152,403349,960,2026-07-13
ⒷⓁⒶⒸⓀⓁⒶⒷⒺⓁ,darkist,105,173645,300,2026-07-13
15Katk 600Sk,arbalist,155,474229,3999,2026-07-13
KATRINA シ,arbalist,152,385999,750,2026-07-13
VeRッ,warrior,148,389511,1499,2026-07-13
Omegå丶福Früit,darkist,155,411058,1000,2026-07-13
700SkRedBagL,taoist,162,505901,5200,2026-07-13
Devvvss,taoist,133,294536,255,2026-07-13
小矿工看看怎么个事,warrior,162,531295,4666,2026-07-13
챔피언 ツ,warrior,157,511712,5200,2026-07-13
親分 KentaX ッ,arbalist,147,356748,1000,2026-07-13
乂Abuzado,arbalist,171,628636,30000,2026-07-13
GoodStatz,lancer,155,439991,3050,2026-07-13
很生气メ,warrior,148,416515,1300,2026-07-13
OLD ZERO TWO,taoist,113,196012,130,2026-07-13
Silvestre ツ,taoist,161,460935,2900,2026-07-13
DC Choco93,taoist,170,609586,17500,2026-07-13
La Planta,taoist,166,493027,4100,2026-07-13
GillyFrost,taoist,158,389301,850,2026-07-13
LuLuOft3n,arbalist,152,403122,1500,2026-07-13
FelipeRS4,arbalist,154,420422,1540,2026-07-13
yuki184329,arbalist,153,446704,2750,2026-07-13
SolidPvpStat,arbalist,162,513792,6660,2026-07-13
KATRINA シ,arbalist,152,385999,750,2026-07-13
VeRッ,warrior,148,389511,1499,2026-07-13
Omegå丶福Früit,darkist,155,411058,1000,2026-07-13
700SkRedBagL,taoist,162,505901,5200,2026-07-13
Devvvss,taoist,133,294536,255,2026-07-13
小矿工看看怎么个事,warrior,162,531295,4666,2026-07-13
챔피언 ツ,warrior,157,511712,5200,2026-07-13
親分 KentaX ッ,arbalist,147,356748,1000,2026-07-13
乂Abuzado,arbalist,171,628636,30000,2026-07-13
GoodStatz,lancer,155,439991,3050,2026-07-13
很生气メ,warrior,148,416515,1300,2026-07-13
OLD ZERO TWO,taoist,113,196012,130,2026-07-13
Silvestre ツ,taoist,161,460935,2900,2026-07-13
DC Choco93,taoist,170,609586,17500,2026-07-13
La Planta,taoist,166,493027,4100,2026-07-13
GillyFrost,taoist,158,389301,850,2026-07-13
LuLuOft3n,arbalist,152,403122,1500,2026-07-13
FelipeRS4,arbalist,154,420422,1540,2026-07-13
yuki184329,arbalist,153,446704,2750,2026-07-13
SolidPvpStat,arbalist,162,513792,6660,2026-07-13
KATRINA シ,arbalist,152,385999,750,2026-07-13
VeRッ,warrior,148,389511,1499,2026-07-13
Omegå丶福Früit,darkist,155,411058,1000,2026-07-13
700SkRedBagL,taoist,162,505901,5200,2026-07-13
Devvvss,taoist,133,294536,255,2026-07-13
小矿工看看怎么个事,warrior,162,531295,4666,2026-07-13
챔피언 ツ,warrior,157,511712,5200,2026-07-13
親分 KentaX ッ,arbalist,147,356748,1000,2026-07-13
乂Abuzado,arbalist,171,628636,30000,2026-07-13
GoodStatz,lancer,155,439991,3050,2026-07-13
很生气メ,warrior,148,416515,1300,2026-07-13
OLD ZERO TWO,taoist,113,196012,130,2026-07-13
Silvestre ツ,taoist,161,460935,2900,2026-07-13
DC Choco93,taoist,170,609586,17500,2026-07-13
La Planta,taoist,166,493027,4100,2026-07-13
GillyFrost,taoist,158,389301,850,2026-07-13
LuLuOft3n,arbalist,152,403122,1500,2026-07-13
FelipeRS4,arbalist,154,420422,1540,2026-07-13
yuki184329,arbalist,153,446704,2750,2026-07-13
SolidPvpStat,arbalist,162,513792,6660,2026-07-13
Shozn,arbalist,146,380065,700,2026-07-13
Ving BIank,warrior,178,837405,145000,2026-07-13
Cutuca,lancer,131,258202,246,2026-07-13
TamaJama,lancer,132,214424,198,2026-07-13
Xerelha,sorcerer,147,364338,720,2026-07-13
Samuzou ツ,taoist,139,339849,450,2026-07-13
IDmiumiuvyvy,taoist,160,478704,2899,2026-07-13
센페이센페이,warrior,151,416696,1400,2026-07-13
StarkMastah,taoist,135,338382,470,2026-07-13
єloиarsíl メ,lancer,170,679163,37500,2026-07-13
YNN3,taoist,127,260069,255,2026-07-13
로닌 Kküra,taoist,165,531782,9300,2026-07-13
メSylvanaSメ,arbalist,165,531535,7300,2026-07-13
Chibi DX,arbalist,152,412441,1000,2026-07-13
helangerboda,darkist,123,233482,185,2026-07-13
IRAGNAROKD,sorcerer,161,464948,4750,2026-07-13
Digidily,sorcerer,133,315418,390,2026-07-13
云の雨,arbalist,154,445901,2950,2026-07-13
Synchro 火,taoist,142,378753,720,2026-07-13
PewPewメ,arbalist,149,384962,1100,2026-07-13
KATRINA シ,arbalist,152,385999,750,2026-07-13
VeRッ,warrior,148,389511,1499,2026-07-13
Omegå丶福Früit,darkist,155,411058,1000,2026-07-13
700SkRedBagL,taoist,162,505901,5200,2026-07-13
Devvvss,taoist,133,294536,255,2026-07-13
小矿工看看怎么个事,warrior,162,531295,4666,2026-07-13
챔피언 ツ,warrior,157,511712,5200,2026-07-13
親分 KentaX ッ,arbalist,147,356748,1000,2026-07-13
乂Abuzado,arbalist,171,628636,30000,2026-07-13
GoodStatz,lancer,155,439991,3050,2026-07-13
很生气メ,warrior,148,416515,1300,2026-07-13
